pick_id,show,episode_date,host,game_date,matchup,market_type,side,number_cited,price_cited,stated_confidence,confidence_tier,line_available_at_listen,closing_line,closing_price,clv_points,clv_pct,result,notes,ext_episode_id,ext_period,ext_game_id_provisional,ext_attribution_confidence,ext_pick_or_lean,ext_reasoning_15w,ext_final_score,ext_graded_as_of,ext_clv_status
W01-085,BBOC,2026-09-03,Colin Wilson,2026-09-04,Toledo at Michigan State,SPREAD,Toledo +10,10,,it is going to be Toledo for me,2,9.5 to 10 range,,,,,P,PUSH at +10. Market ranged 9.5 to 12 - outcome depended entirely on which number,BBOC_20260903_WK1PREV,FG,20260904_TOL_MSU,HIGH,PICK,Loves Jacobs; never had a losing season anywhere,MSU 30 TOL 20,2026-09-05,NO_CLOSE_CAPTURED
W01-086,BBOC,2026-09-03,Colin Wilson,2026-09-04,San Jose State at Eastern Michigan,SPREAD,San Jose State +3.5,3.5,,took it earlier in the week,2,+2.5 now,,,,,W,STALE NUMBER - listener gets a worse line than cited | Won outright as +3.5 dog,BBOC_20260903_WK1PREV,FG,20260904_SJSU_EMU,HIGH,PICK,Thinks San Jose State wins outright,SJSU 27 EMU 21,2026-09-05,NO_CLOSE_CAPTURED
W01-087,BBOC,2026-09-03,Colin Wilson,2026-09-07,SMU at Florida State,SPREAD,SMU -3,-3,,favorite pick of the week,3,also laid ML when cheap,,,,,,two positions same side; makes it -4,BBOC_20260903_WK1PREV,FG,20260907_SMU_FSU,HIGH,PICK,FSU missed nine tackles vs New Mexico State; allowed ten pressures,,,PENDING
W01-088,BBOC,2026-09-03,Colin Wilson,2026-09-05,North Alabama at Arkansas,TOTAL,over 63.5,63.5,,we are going over,2,,,,,,,discloses homer bias openly,BBOC_20260903_WK1PREV,FG,20260905_UNA_ARK,HIGH,PICK,Cramsey wants every quarterback to score; expects a blowout,,,PENDING
W01-089,BBOC,2026-09-03,Colin Wilson,2026-09-05,Portland State at San Diego State,TOTAL,over 62,62,,it is over,2,,,,,,,also floated SDSU team total over 50.5 - IMPLAUSIBLE NUMBER likely ASR error,BBOC_20260903_WK1PREV,FG,20260905_PSU_SDSU,HIGH,PICK,Portland State defense gives it up; San Diego State can drop bombs,,,PENDING
W01-090,BBOC,2026-09-03,Colin Wilson,2026-09-05,Boise State at Oregon,SPREAD,Oregon -24.5,-24.5,,overdog play; grab that 24,2,,,,,,,expects it to steam,BBOC_20260903_WK1PREV,FG,20260905_BSU_ORE,HIGH,PICK,Boise 134th in tackling and last in rush explosives allowed,,,PENDING
W01-091,BBOC,2026-09-03,Colin Wilson,2026-09-05,Central Michigan at New Mexico,ML,Central Michigan,,,underdog moneyline parlay leg,1,,,,,,,PRICE NOT CITED,BBOC_20260903_WK1PREV,FG,20260905_CMU_UNM,HIGH,PICK,New Mexico QB out for season; triple option pushes them around,,,PENDING
W01-092,BBOC,2026-09-03,Colin Wilson,2026-09-06,Washington State vs Washington,TOTAL,under,,,lean to the under; like under all the way,1,,,,,,,NO NUMBER CITED - UNGRADEABLE,BBOC_20260903_WK1PREV,FG,20260906_WSU_WASH,HIGH,LEAN,Both offenses replacing lead rushers; Washington strong back seven,,,PENDING
W01-093,BBOC,2026-09-03,Colin Wilson,2026-09-05,Miami OH at Pittsburgh,SPREAD,Pittsburgh under 17,17,,if I played anything,1,16.5,,,,,,,BBOC_20260903_WK1PREV,FG,20260905_MIAO_PITT,MEDIUM,LEAN,Thinks the Pitt number is a little short,,,PENDING
W01-094,BBOC,2026-09-03,Colin Wilson,2026-09-05,Ball State at Ohio State,TEAM_TOTAL,Ball State under 2.5,2.5,-120 on the over,thinking about under for fun,1,,,,,,,floated not confirmed,BBOC_20260903_WK1PREV,FG,20260905_BALL_OSU,HIGH,LEAN,Does not think Ball State gets a field goal,,,PENDING
W01-095,BBOC,2026-09-02,Mike Calabrese,2026-09-05,Texas State at Texas,TOTAL,over 59.5,59.5,,triple option pick,2,,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_TXST_TEX,HIGH,PICK,Manning heater; Texas State 21st in seconds between plays,,,PENDING
W01-096,BBOC,2026-09-02,Mike Calabrese,2026-09-05,Marshall at Penn State,SPREAD,Marshall +24.5,24.5,,triple option pick,2,north of 24 is key,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_MRSH_PSU,HIGH,PICK,Campbell 16-18-1 out of conference; Penn State lost twelve DL,,,PENDING
W01-097,BBOC,2026-09-02,Mike Calabrese,2026-09-05,ULM at Mississippi State,SPREAD,Mississippi State -28.5,-28.5,,best bet,3,good up to -30.5,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_ULM_MSST,HIGH,PICK,Arnett fixes run defense; ULM gets pounded when it cannot run,,,PENDING
W01-098,BBOC,2026-09-02,Mike Calabrese,2026-09-05,Clemson at LSU,SPREAD,LSU -10.5,-10.5,,power four play,2,,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_CLEM_LSU,HIGH,PICK,29 percent more blue chips than second portal class; LSU by 17,,,PENDING
W01-099,BBOC,2026-09-02,Mike Calabrese,2026-09-05,Lafayette at UConn,TOTAL,under 57.5,57.5,,riding with co-host,1,55.5 or better,,,,,,joined Duck's play on air,BBOC_20260902_SIXTHGEAR,FG,20260905_LAF_UCONN,HIGH,PICK,Candle allowed 3.7 points per game to FCS since 2018,,,PENDING
W01-100,BBOC,2026-09-02,Mike Calabrese,2026-09-05,Western Kentucky at Nevada,ML,Nevada,,+120,underdog moneyline parlay leg,1,,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_WKU_NEV,HIGH,PICK,Anti-Hilltopper play; Reeder hire and complete OL gut job,,,PENDING
W01-101,BBOC,2026-09-02,Duck,2026-09-05,Towson at Navy,TOTAL,under 53.5,53.5,,best bet,3,would bet to 51.5,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_TOW_NAVY,HIGH,PICK,Projects 38-7; no explosives and a quick moving clock,,,PENDING
W01-102,BBOC,2026-09-02,Duck,2026-09-05,Oklahoma State at Tulsa,SPREAD,Tulsa +14.5,14.5,,triple option pick,2,anything above +14,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_OKST_TUL,HIGH,PICK,Tulsa DL creates havoc; Mestemaker never faced power four,,,PENDING
W01-103,BBOC,2026-09-02,Duck,2026-09-05,Lafayette at UConn,TOTAL,under 57.5,57.5,,triple option pick,2,55.5 or better,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_LAF_UCONN,HIGH,PICK,Lafayette lost DeNoble; zero explosivity vs Georgetown,,,PENDING
W01-104,BBOC,2026-09-02,Duck,2026-09-05,Boston College at Cincinnati,SPREAD,Boston College +7.5,7.5,,power four play; in app 75 days,2,anything over a full touchdown,,,,,,longest-held position on the board,BBOC_20260902_SIXTHGEAR,FG,20260905_BC_CIN,HIGH,PICK,French downgrade from Sorsby; Cincinnati front seven not replenished,,,PENDING
W01-105,BBOC,2026-09-02,Duck,2026-09-05,Wyoming at Colorado State,ML,Wyoming,,+136,underdog moneyline parlay leg,1,,,,,,,,BBOC_20260902_SIXTHGEAR,FG,20260905_WYO_CSU,HIGH,PICK,Better quarterback and better defense; blew them out last year,,,PENDING
